from_library,to_library,count,daily_average
ACL,ACL,7799,121.859375
ACL,ALM,3,0.046875
ACL,ARP,87,1.359375
ACL,BAR,326,5.09375
ACL,BER,12,0.1875
ACL,BLV,48,0.75
ACL,BRD,124,1.9375
ACL,CBR,35,0.546875
ACL,CIA,28,0.4375
ACL,COL,64,1
ACL,CSP,56,0.875
ACL,DCL,36,0.5625
ACL,DEE,25,0.390625
ACL,DFT,131,2.046875
ACL,FCH,206,3.21875
ACL,HAW,135,2.109375
ACL,HPB,184,2.875
ACL,LAK,163,2.546875
ACL,LAV,6,0.09375
ACL,LDI,96,1.5
ACL,MAD,219,3.421875
ACL,MAR,29,0.453125
ACL,MAZ,10,0.15625
ACL,MCF,86,1.34375
ACL,MCM,1096,17.125
ACL,MEA,122,1.90625
ACL,MFD,76,1.1875
ACL,MID,383,5.984375
ACL,MNT,21,0.328125
ACL,MOO,114,1.78125
ACL,MRO,318,4.96875
ACL,MRS,0,0
ACL,MSB,157,2.453125
ACL,MTH,77,1.203125
ACL,NEK,193,3.015625
ACL,NGL,130,2.03125
ACL,NOF,15,0.234375
ACL,ORE,115,1.796875
ACL,PAR,32,0.5
ACL,PDS,203,3.171875
ACL,PIN,287,4.484375
ACL,PLA,23,0.359375
ACL,PLO,54,0.84375
ACL,POR,157,2.453125
ACL,POY,47,0.734375
ACL,RAN,32,0.5
ACL,REE,199,3.109375
ACL,RIO,6,0.09375
ACL,RKS,7,0.109375
ACL,ROM,166,2.59375
ACL,ROS,16,0.25
ACL,SCA,0,0
ACL,SCL,0,0
ACL,SEQ,343,5.359375
ACL,SGR,74,1.15625
ACL,SKC,107,1.671875
ACL,SMB,65,1.015625
ACL,STO,96,1.5
ACL,STP,127,1.984375
ACL,SUN,267,4.171875
ACL,VER,301,4.703125
ACL,WAU,134,2.09375
ACL,WID,86,1.34375
ACL,WYO,11,0.171875
ACL,ZZZ,23,0.359375
ACL,UNDEF,0,0
ALM,ACL,10,0.15625
ALM,ALM,593,9.265625
ALM,ARP,0,0
ALM,BAR,25,0.390625
ALM,BER,2,0.03125
ALM,BLV,2,0.03125
ALM,BRD,5,0.078125
ALM,CBR,1,0.015625
ALM,CIA,0,0
ALM,COL,3,0.046875
ALM,CSP,3,0.046875
ALM,DCL,3,0.046875
ALM,DEE,2,0.03125
ALM,DFT,20,0.3125
ALM,FCH,18,0.28125
ALM,HAW,6,0.09375
ALM,HPB,15,0.234375
ALM,LAK,14,0.21875
ALM,LAV,0,0
